bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1274	NM_020466	chr6	-	90341942	90348474	90346991	90348435	3	90341942,90347460,90348390,	90347072,90347601,90348474,	0	LYRM2	cmpl	cmpl	0,0,0,
92	NM_152584	chrY	+	20708576	20750849	20708673	20750520	2	20708576,20750421,	20709186,20750849,	0	HSFY1	cmpl	cmpl	0,0,
1156	NM_001135752	chr10	-	74894281	74927853	74894340	74923695	15	74894281,74896461,74897760,74899066,74899388,74901144,74906033,74908033,74912050,74914013,74916032,74916325,74920191,74923490,74927623,	74894571,74896676,74897828,74899253,74899495,74901243,74906119,74908162,74912179,74914206,74916211,74916413,74920309,74923708,74927853,	0	ECD	cmpl	cmpl	0,1,2,1,2,2,0,0,0,2,0,2,1,0,-1,
875	NM_001195545	chr17	+	38097726	38100987	38097776	38100987	2	38097726,38100185,	38097802,38100987,	0	LRRC3C	cmpl	cmpl	0,2,
2296	NR_049764	chr1	+	224301788	224349749	224349749	224349749	4	224301788,224318173,224340843,224345053,	224302098,224318283,224341039,224349749,	0	FBXO28	unk	unk	-1,-1,-1,-1,
1448	NM_005054	chr2	-	113125964	113191107	113127754	113191030	23	113125964,113135629,113138400,113145600,113148551,113152194,113155498,113155675,113156799,113157208,113157612,113158693,113158984,113159243,113161542,113163873,113170007,113174769,113175260,113179536,113180124,113181816,113190958,	113127789,113135831,113138540,113147824,113148646,113152330,113155582,113155855,113156946,113157346,113157771,113158817,113159160,113159425,113161752,113163961,113170203,113174915,113175491,113179689,113180236,113181884,113191107,	0	RGPD5	cmpl	cmpl	1,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,2,0,0,0,2,0,0,
1181	NM_012245	chr14	-	78183943	78227497	78184430	78227470	14	78183943,78184709,78187053,78189523,78197330,78198827,78201289,78202279,78203313,78205120,78205308,78217661,78221309,78227456,	78184629,78184873,78187171,78189620,78197472,78198944,78201355,78202349,78203418,78205227,78205404,78217823,78221463,78227497,	0	SNW1	cmpl	cmpl	2,0,2,1,0,0,0,2,2,0,0,0,2,0,
1156	NM_198955	chr17	+	74868728	74946471	74868831	74944920	16	74868728,74878232,74898636,74899384,74900333,74901250,74902099,74921047,74922678,74928726,74934069,74936483,74936813,74942457,74943911,74944721,	74869045,74878380,74898752,74899458,74900504,74901415,74902269,74921179,74922812,74928857,74934225,74936630,74936930,74942532,74944168,74946471,	0	MGAT5B	cmpl	cmpl	0,1,2,1,0,0,0,2,2,1,0,0,0,0,0,2,
2142	NM_000537	chr1	-	204123943	204135465	204124143	204135421	10	204123943,204124947,204125305,204125804,204126488,204128526,204129687,204130419,204131140,204135323,	204124305,204125046,204125447,204125924,204126497,204128723,204129806,204130543,204131291,204135465,	0	REN	cmpl	cmpl	0,0,2,2,2,0,1,0,2,0,
874	NM_025079	chr1	+	37940118	37949978	37941097	37949212	6	37940118,37941059,37945890,37947201,37948034,37948337,	37940230,37941540,37946030,37947436,37948141,37949978,	0	ZC3H12A	cmpl	cmpl	-1,0,2,1,2,1,
1427	NM_000757	chr1	+	110453232	110473616	110453645	110467811	9	110453232,110456880,110458255,110459914,110464468,110465787,110467397,110467768,110471473,	110453684,110457003,110458318,110460085,110464616,110466812,110467450,110467824,110473616,	0	CSF1	cmpl	cmpl	0,0,0,0,0,1,0,2,-1,
1734	NM_001145017	chr5	-	150655925	150683334	150656953	150682915	11	150655925,150660574,150663604,150664173,150666806,150667946,150668494,150672924,150675740,150678153,150682787,	150657222,150660744,150663771,150664272,150667025,150668031,150668617,150673020,150675829,150678244,150683334,	0	SLC36A3	cmpl	cmpl	1,2,0,0,0,2,2,2,0,2,0,
631	NM_006303	chr7	+	6048881	6063465	6048994	6063322	4	6048881,6054776,6057444,6062933,	6049129,6054983,6057676,6063465,	0	AIMP2	cmpl	cmpl	0,0,0,1,
928	NM_015945	chr20	-	44978166	44993097	44979032	44987145	10	44978166,44979399,44980689,44983520,44983711,44984440,44985212,44986261,44987025,44993009,	44979163,44979529,44980865,44983604,44983880,44984513,44985276,44986412,44987402,44993097,	0	SLC35C2	cmpl	cmpl	1,0,1,1,0,2,1,0,0,-1,
1735	NM_004935	chr7	-	150750898	150755052	150751095	150754935	12	150750898,150751298,150751491,150752113,150752363,150752618,150752839,150753666,150753822,150753994,150754158,150754898,	150751182,150751379,150751552,150752183,150752460,150752693,150752935,150753723,150753883,150754062,150754247,150755052,	0	CDK5	cmpl	cmpl	0,0,2,1,0,0,0,0,2,0,1,0,
143	NM_001204426	chr7	+	73507485	73536855	73507579	73535631	15	73507485,73510951,73511409,73513361,73520204,73520406,73521339,73522200,73523234,73525977,73526262,73530131,73534912,73535221,73535468,	73507629,73511090,73511519,73513568,73520310,73520573,73521523,73522287,73523366,73526037,73526328,73530288,73534968,73535379,73536855,	0	LIMK1	cmpl	cmpl	0,2,0,2,2,0,2,0,0,0,0,0,1,0,2,
1022	NM_007264	chr12	+	57388354	57390469	57388993	57390208	2	57388354,57388977,	57388432,57390469,	0	GPR182	cmpl	cmpl	-1,0,
1090	NM_005700	chr11	+	66247483	66277130	66249671	66276722	18	66247483,66249666,66252643,66254010,66254738,66255384,66258723,66258964,66259168,66260186,66260537,66261011,66262676,66262835,66263100,66264768,66272082,66276549,	66247936,66249941,66252733,66254148,66254813,66255478,66258854,66259095,66259227,66260381,66260650,66261104,66262739,66262960,66263221,66264948,66272245,66277130,	0	DPP3	cmpl	cmpl	-1,0,0,0,0,0,1,0,2,1,1,0,0,0,2,0,0,1,
1093	NM_017858	chr15	-	66629007	66649054	66629295	66645285	8	66629007,66633487,66641397,66641652,66643862,66644466,66645152,66648976,	66629519,66633694,66641461,66641775,66643938,66644545,66645293,66649054,	0	TIPIN	cmpl	cmpl	1,1,0,0,2,1,0,-1,
